time,x,y,z,qx,qy,qz,qw,cov_00,cov_01,cov_02,cov_03,cov_04,cov_05,cov_10,cov_11,cov_12,cov_13,cov_14,cov_15,cov_20,cov_21,cov_22,cov_23,cov_24,cov_25,cov_30,cov_31,cov_32,cov_33,cov_34,cov_35,cov_40,cov_41,cov_42,cov_43,cov_44,cov_45,cov_50,cov_51,cov_52,cov_53,cov_54,cov_55
1786181265.455564976,-0.010406,-0.018872,-0.006091,-0.004935,0.003133,0.001551,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.460150003,-0.010408,-0.018860,-0.006123,-0.004929,0.003131,0.001550,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.465596199,-0.010407,-0.018847,-0.006161,-0.004907,0.003119,0.001554,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.469768047,-0.010406,-0.018838,-0.006190,-0.004897,0.003114,0.001554,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.475558281,-0.010408,-0.018824,-0.006229,-0.004877,0.003111,0.001564,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.479830980,-0.010412,-0.018814,-0.006257,-0.004858,0.003111,0.001577,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.485579967,-0.010421,-0.018800,-0.006296,-0.004839,0.003109,0.001596,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.489857197,-0.010426,-0.018789,-0.006327,-0.004829,0.003107,0.001610,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.495546341,-0.010428,-0.018774,-0.006368,-0.004821,0.003099,0.001613,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.499652147,-0.010426,-0.018764,-0.006400,-0.004818,0.003090,0.001604,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.505553246,-0.010423,-0.018750,-0.006445,-0.004820,0.003088,0.001597,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.509926319,-0.010423,-0.018740,-0.006478,-0.004826,0.003095,0.001594,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.515292168,-0.010430,-0.018726,-0.006517,-0.004825,0.003101,0.001606,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.519773006,-0.010438,-0.018714,-0.006548,-0.004817,0.003103,0.001627,0.999982,1.222099e-06,-1.232181e-07,2.052699e-07,-9.297024e-09,-5.312456e-08,-2.413629e-08,-1.232181e-07,1.521219e-06,-2.658348e-08,1.050609e-07,9.581376e-09,9.815637e-08,2.052699e-07,-2.658348e-08,1.249680e-06,-9.219244e-08,-1.149087e-07,2.666362e-08,-9.297024e-09,1.050609e-07,-9.219244e-08,1.308006e-07,1.788952e-08,-3.878464e-08,-5.312456e-08,9.581376e-09,-1.149087e-07,1.788952e-08,6.728924e-08,-1.194487e-08,-2.413629e-08,9.815637e-08,2.666362e-08,-3.878464e-08,-1.194487e-08,8.083469e-08
1786181265.525552750,-0.010141,-0.019355,-0.005249,-0.004730,0.003690,0.001513,0.999981,1.233078e-06,-1.148813e-07,2.132250e-07,-9.150268e-09,-5.912926e-08,-2.669992e-08,-1.148813e-07,1.637307e-06,-1.956971e-08,1.050090e-07,1.249622e-08,8.926543e-08,2.132250e-07,-1.956971e-08,1.256058e-06,-9.519036e-08,-1.171257e-07,2.612150e-08,-9.150268e-09,1.050090e-07,-9.519036e-08,1.293866e-07,1.810723e-08,-3.699311e-08,-5.912926e-08,1.249622e-08,-1.171257e-07,1.810723e-08,7.177566e-08,-1.336230e-08,-2.669992e-08,8.926543e-08,2.612150e-08,-3.699311e-08,-1.336230e-08,8.191686e-08
1786181265.529868603,-0.010140,-0.019355,-0.005251,-0.004731,0.003692,0.001504,0.999981,1.233078e-06,-1.148813e-07,2.132250e-07,-9.150268e-09,-5.912926e-08,-2.669992e-08,-1.148813e-07,1.637307e-06,-1.956971e-08,1.050090e-07,1.249622e-08,8.926543e-08,2.132250e-07,-1.956971e-08,1.256058e-06,-9.519036e-08,-1.171257e-07,2.612150e-08,-9.150268e-09,1.050090e-07,-9.519036e-08,1.293866e-07,1.810723e-08,-3.699311e-08,-5.912926e-08,1.249622e-08,-1.171257e-07,1.810723e-08,7.177566e-08,-1.336230e-08,-2.669992e-08,8.926543e-08,2.612150e-08,-3.699311e-08,-1.336230e-08,8.191686e-08
1786181265.535541534,-0.010133,-0.019356,-0.005256,-0.004735,0.003692,0.001491,0.999981,1.233078e-06,-1.148813e-07,2.132250e-07,-9.150268e-09,-5.912926e-08,-2.669992e-08,-1.148813e-07,1.637307e-06,-1.956971e-08,1.050090e-07,1.249622e-08,8.926543e-08,2.132250e-07,-1.956971e-08,1.256058e-06,-9.519036e-08,-1.171257e-07,2.612150e-08,-9.150268e-09,1.050090e-07,-9.519036e-08,1.293866e-07,1.810723e-08,-3.699311e-08,-5.912926e-08,1.249622e-08,-1.171257e-07,1.810723e-08,7.177566e-08,-1.336230e-08,-2.669992e-08,8.926543e-08,2.612150e-08,-3.699311e-08,-1.336230e-08,8.191686e-08
1786181265.539839983,-0.010126,-0.019356,-0.005259,-0.004739,0.003689,0.001479,0.999981,1.233078e-06,-1.148813e-07,2.132250e-07,-9.150268e-09,-5.912926e-08,-2.669992e-08,-1.148813e-07,1.637307e-06,-1.956971e-08,1.050090e-07,1.249622e-08,8.926543e-08,2.132250e-07,-1.956971e-08,1.256058e-06,-9.519036e-08,-1.171257e-07,2.612150e-08,-9.150268e-09,1.050090e-07,-9.519036e-08,1.293866e-07,1.810723e-08,-3.699311e-08,-5.912926e-08,1.249622e-08,-1.171257e-07,1.810723e-08,7.177566e-08,-1.336230e-08,-2.669992e-08,8.926543e-08,2.612150e-08,-3.699311e-08,-1.336230e-08,8.191686e-08
