time,ax,ay,az,gx,gy,gz
1786181347.740080118,0.007545122,-0.041850109,0.993152142,0.011488937,0.003477834,0.019863326
1786181347.745434046,0.028052935,-0.060648937,1.00023222,0.013619466,0.003477834,0.014537003
1786181347.749871254,0.023658404,-0.044779796,0.999011517,0.01681526,0.002412571,0.012406472
1786181347.755698919,0.009254107,-0.058939952,0.99266386,0.001901557,0.003477834,0.015602268
1786181347.760030746,-0.011009565,-0.06724073,0.979236126,-0.008751089,0.003477834,0.018798061
1786181347.765704632,-0.026878705,-0.066996589,1.012927532,-0.009816352,0.0045431,0.020928588
1786181347.769924879,-0.019554486,-0.051859874,0.974353313,-0.011946881,0.003477834,0.020928588
1786181347.775813103,-0.023460736,-0.068705574,0.993152142,-0.010881618,0.001347305,0.018798061
1786181347.779804945,-0.014183393,-0.058695812,0.998523235,0.008293143,0.000282042,0.020928588
1786181347.785696030,-0.004661909,-0.049662609,0.985095501,0.007227879,0.001347305,0.019863326
1786181347.789932728,-0.010033002,-0.065531746,0.999011517,0.009358408,0.000282042,0.01666753
1786181347.795711040,-0.003685346,-0.038187999,1.000964642,0.010423672,0.003477834,0.013471738
1786181347.799948931,-0.002464643,-0.053080577,1.003894329,0.01681526,0.003477834,0.018798061
1786181347.805681944,-0.003197065,-0.045512218,0.989734173,0.009358408,0.0045431,0.018798061
1786181347.810086012,-0.010033002,-0.044535656,0.990710735,0.01468473,0.001347305,0.020928588
1786181347.815503359,-0.014427533,-0.022074718,0.985827923,0.001901557,0.002412571,0.024124384
1786181347.819966793,-0.02492558,-0.039652843,0.982165813,0.004032086,0.002412571,0.021993853
1786181347.825683832,-0.031273238,-0.01890089,1.00047636,-0.010881618,0.003477834,0.01666753
1786181347.830145836,-0.028343549,-0.031596202,0.983874798,-0.018338468,0.001347305,0.020928588
1786181347.835685968,-0.015892377,-0.025248546,1.010241985,-0.000228972,0.000282042,0.026254911
1786181347.839689493,-0.008568158,-0.03843214,0.998034954,-0.003424766,0.0045431,0.023059119
1786181347.845521688,0.003883013,-0.021098156,0.990710735,-0.002359501,0.002412571,0.027320176
1786181347.849755287,0.009009967,-0.044291515,1.01195097,-0.002359501,0.006673628,0.021993853
1786181347.855674028,0.003883013,-0.059428234,0.963611126,-0.019403733,0.008804156,0.020928588
1786181347.859972715,-0.011497846,-0.065531746,1.00023222,-0.00662056,0.003477834,0.024124384
1786181347.865679502,-0.023460736,-0.051371593,0.964587688,-0.013012147,0.000282042,0.020928588
1786181347.870074034,-0.040794723,-0.077006355,1.01195097,-0.001294237,0.002412571,0.018798061
1786181347.875681639,-0.033714645,-0.049174327,0.986316204,-0.007685823,0.005608363,0.017732795
1786181347.879926205,-0.018333783,-0.053568859,0.989734173,0.009358408,0.003477834,0.018798061
1786181347.885681629,0.005836138,-0.046977062,1.025378704,0.007227879,0.003477834,0.026254911
1786181347.889830589,0.027564654,-0.025248546,0.989734173,0.02427211,0.002412571,0.021993853
1786181347.895676374,0.030494342,-0.044047374,0.998279095,0.009358408,0.003477834,0.019863326
1786181347.899983883,0.022437701,-0.028666515,0.990222454,0.009358408,0.0045431,0.013471738
1786181347.905726194,0.000220904,-0.037699718,0.997546673,0.00509735,0.006673628,0.018798061
1786181347.909955263,-0.014671674,-0.009867687,0.986804485,0.00509735,0.006673628,0.013471738
1786181347.915790558,-0.031517379,-0.019633312,0.993640423,0.009358408,0.002412571,0.024124384
1786181347.919884682,-0.023949018,0.010884266,0.995837688,0.00509735,0.0045431,0.021993853
1786181347.925688744,-0.022972455,0.005269032,0.979236126,-0.001294237,0.0045431,0.018798061
