time_s,rx_m,ry_m,rz_m,rtheta_x_rad,rtheta_y_rad,rtheta_z_rad,nis
5.339904545999999641e+00,-1.445849111957175220e-04,7.217177305127338294e-05,3.555411738546173511e-05,3.997694650377495878e-04,-2.337356900539519448e-05,6.364177254063975908e-05,1.396383507305342997e+00
5.343934535999999902e+00,-1.564801051283136804e-04,2.529782689135451346e-05,7.025234210398124263e-05,3.729616471386686029e-04,-1.957890973155927437e-05,5.493665976365062401e-05,1.215032533227651701e+00
5.349887132000000101e+00,-1.794427544679491962e-04,-3.696142296444847319e-05,1.208938136376888628e-04,3.455322039949681730e-04,-1.529819790103478450e-05,4.642985749846675637e-05,1.052458819205484675e+00
5.354285478000000431e+00,-1.879264042381270650e-04,-7.748914164087961076e-05,1.499514193941718990e-04,3.193563637312462093e-04,-1.187002569054225152e-05,3.846001450162235682e-05,9.111129134237405669e-01
5.359898805000000266e+00,-2.045647426361452484e-04,-1.287473782343052237e-04,1.899775696699362512e-04,2.961506334661767191e-04,-8.964673249540743038e-06,3.132927423755358227e-05,8.073087927172331035e-01
5.364117622000000196e+00,-2.100551920293245237e-04,-1.595461212766623171e-04,2.110414682582944720e-04,2.733124342199790935e-04,-6.786059072228177018e-06,2.574100509328207156e-05,7.096359471281690201e-01
5.369897604000000157e+00,-1.440136492385724921e-03,-7.038640849232422753e-04,6.136089194165627106e-04,-4.539461036291579828e-04,-8.632813829006111511e-05,5.673425213546363054e-04,7.668167132196535007e+00
5.374092817000000188e+00,-1.327874687910721163e-03,-6.781655468733951975e-04,5.960904496226026791e-04,-4.255897966125454942e-04,-7.851574180353937404e-05,5.198403444398349811e-04,6.588901758348749027e+00
5.380015611000000142e+00,-1.246385831983666016e-03,-6.761506824648003122e-04,6.020588240457950754e-04,-3.999987225314696466e-04,-6.836323686325724821e-05,4.739487497177262377e-04,5.705587969972278017e+00
5.384047030999999706e+00,-1.143597961601868981e-03,-6.501746756011148737e-04,5.806396419832998354e-04,-3.746783391959815574e-04,-6.285495777572806320e-05,4.322997201031217470e-04,4.882037864316459697e+00
5.389889716999999969e+00,-1.065004744855259540e-03,-6.469340641678152093e-04,5.820381464810234912e-04,-3.516363746668963635e-04,-5.556969195150203325e-05,3.930724774319252187e-04,4.220349288634455576e+00
5.394229173000000266e+00,-9.771337815093284265e-04,-6.248087628711127689e-04,5.643838825621638744e-04,-3.291511321397825891e-04,-4.955616879090142649e-05,3.570729501048678267e-04,3.610282865638864358e+00
5.399894714000000207e+00,-9.069639484312773045e-04,-6.202454943843773577e-04,5.615916576804068361e-04,-3.093285241056968203e-04,-4.252098408918556053e-05,3.235741282354761411e-04,3.124690648199986764e+00
5.404072283999999726e+00,-8.312037166070167585e-04,-5.972550627733400064e-04,5.427727130486847268e-04,-2.882771744771935214e-04,-3.618515348222179815e-05,2.931400646360589855e-04,2.668752601296249694e+00
